id,original_text,published_date,label
mg_5e88f242e4dc73425ee7ebf8_11511711264362,"收到消息：新的NCP冠狀病毒可能很多天都沒有感染跡象，如何知道他/她是否被感染。等到他們發燒和/或咳嗽並去醫院的時候，肺通常纖維化程度為50％，為時已晚！

台灣專家提供了一個簡單的自我檢查，我們每天早晨都可以這樣做：

深呼吸，屏住呼吸10秒鐘以上。如果您成功完成了治療而沒有咳嗽，沒有不適，鼻塞或緊繃等現象，則表明肺部沒有纖維化，基本上表明沒有感染。

在關鍵時刻，請每天早晨在乾淨的環境中進行自我檢查！

日本醫生治療COVID-19病例的嚴重建議。每個人都應確保您的嘴巴和喉嚨濕潤，切勿乾燥。至少每15分鐘喝幾口水。為什麼？即使病毒進入您的嘴...喝水或其他液體也會通過食道將其沖洗到胃中。一旦進入肚子...您的胃酸將殺死所有病毒。如果您不經常喝足夠的水，則該病毒會進入您的氣管並進入LUNGS。那很危險。
請發送和與家人，朋友和每個人分享有關此！保重每一個人，使世界盡快從日冕病毒中恢復過來。願所有人幸福快樂🙏",2020/2/28,11
mg_5e59e51d6c22d4001aca821b_11513096733585,"譯文：從我的朋友那裡轉發:::收錄：新的NCP冠狀病毒可能很多天都沒有感染跡象，如何知道他/她是否被感染。 等到他們發燒和/或咳嗽並去醫院的時候，肺通常纖維化程度為50％，為時已晚！
 台灣專家提供了一個簡單的自我檢查，我們每天早晨都可以這樣做：
 深呼吸，屏住呼吸10秒鐘以上。 如果您成功完成了治療而沒有咳嗽，沒有不適，鼻塞或緊繃等現象，則表明肺部沒有纖維化，基本上表明沒有感染。
 在關鍵時刻，請每天早晨在乾淨的環境中進行自我檢查！
 日本醫生治療COVID-19病例的嚴重建議。 每個人都應確保您的嘴巴和喉嚨濕潤，切勿乾燥。 至少每15分鐘喝幾口水。 為什麼？ 即使病毒進入您的嘴裡，喝水或其他液體也會通過食道將其沖洗掉並進入胃中。 一旦進入肚子...您的胃酸將殺死所有病毒。 如果您不經常喝足夠的水，則該病毒會進入您的氣管並進入LUNGS。 那很危險。
 請發送和與家人，朋友和每個人分享有關此！ 保重每一個人，使世界盡快從日冕病毒中恢復過來。 願所有人幸福快樂。  🌻🙏🙏🏻🌻",2020/2/29,11
mg_5e59faec6c22d4001aca82b9_11513501036799,"收到消息：新的NCP冠狀病毒可能很多天都沒有感染跡象，如何知道他/她是否被感染。 等到他們發燒和/或咳嗽並去醫院的時候，肺通常纖維化程度為50％，為時已晚！

台灣專家提供了一個簡單的自我檢查，我們每天早晨都可以這樣做：

深呼吸，屏住呼吸10秒鐘以上。 如果您成功完成了治療而沒有咳嗽，沒有不適，鼻塞或緊繃等現象，則表明肺部沒有纖維化，基本上表明沒有感染。

在關鍵時刻，請每天早晨在乾淨的環境中進行自我檢查！

日本醫生治療COVID-19病例的嚴重建議。 每個人都應確保您的嘴巴和喉嚨濕潤，切勿乾燥。 至少每15分鐘喝幾口水。 為什麼？ 即使病毒進入您的嘴...喝水或其他液體也會通過食道將其沖洗到胃中。 一旦進入肚子...您的胃酸將殺死所有病毒。 如果您不經常喝足夠的水，則該病毒會進入您的氣管並進入LUNGS。 那很危險。
請發送和與家人，朋友和每個人分享有關此！ 保重每一個人，使世界盡快從日冕病毒中恢復過來。 願所有人幸福快樂",2020/2/29,11
mg_5e59fd976c22d4001aca82d0_11513549340038,"收到消息：新的NCP冠狀病毒可能很多天都沒有感染跡象，如何知道他/她是否被感染。 等到他們發燒和/或咳嗽並去醫院的時候，肺通常纖維化程度為50％，為時已晚！

 台灣專家提供了一個簡單的自我檢查，我們每天早晨都可以這樣做：

 深呼吸，屏住呼吸10秒鐘以上。 如果您成功完成了治療而沒有咳嗽，沒有不適，鼻塞或緊繃等現象，則表明肺部沒有纖維化，基本上表明沒有感染。

 在關鍵時刻，請每天早晨在乾淨的環境中進行自我檢查！

 日本醫生治療COVID-19病例的嚴重建議。 每個人都應確保您的嘴巴和喉嚨濕潤，切勿乾燥。 至少每15分鐘喝幾口水。 為什麼？ 即使病毒進入您的嘴...喝水或其他液體也會通過食道將其沖洗到胃中。 一旦進入肚子...您的胃酸將殺死所有病毒。 如果您不經常喝足夠的水，則該病毒會進入您的氣管並進入LUNGS。 那很危險。
 請發送和與家人，朋友和每個人分享有關此！ 保重每一個人，使世界盡快從日冕病毒中恢復過來。 願所有人幸福快樂🙏",2020/2/29,11
mg_5e59ff1e6c22d4001aca82dd_11513577378513,"收到消息：新的NCP冠狀病毒可能很多天都沒有感染跡象，如何知道他/她是否被感染。 等到他們發燒和/或咳嗽並去醫院的時候，肺通常纖維化程度為50％，為時已晚！

台灣專家提供了一個簡單的自我檢查，我們每天早晨都可以這樣做：

深呼吸，屏住呼吸10秒鐘以上。 如果您成功完成了治療而沒有咳嗽，沒有不適，鼻塞或緊繃等現象，則表明肺部沒有纖維化，基本上表明沒有感染。

在關鍵時刻，請每天早晨在乾淨的環境中進行自我檢查！

日本醫生治療COVID-19病例的嚴重建議。 每個人都應確保您的嘴巴和喉嚨濕潤，切勿乾燥。 至少每15分鐘喝幾口水。 為什麼？ 即使病毒進入您的嘴...喝水或其他液體也會通過食道將其沖洗到胃中。 一旦進入肚子...您的胃酸將殺死所有病毒。 如果您不經常喝足夠的水，則該病毒會進入您的氣管並進入LUNGS。 那很危險。
請發送和與家人，朋友和每個人分享有關此！ 保重每一個人，使世界盡快從日冕病毒中恢復過來。 願所有人幸福快樂",2020/2/29,11
mg_5e5a25cd6c22d4001aca83d4_11514295415122,"收到消息：新的NCP冠狀病毒可能很多天都沒有感染跡象，如何知道他/她是否被感染。 等到他們發燒和/或咳嗽並去醫院的時候，肺通常纖維化程度為50％，為時已晚！

 台灣專家提供了一個簡單的自我檢查，我們每天早晨都可以這樣做：

 深呼吸，屏住呼吸10秒鐘以上。 如果您成功完成了治療而沒有咳嗽，沒有不適，鼻塞或緊繃等現象，則表明肺部沒有纖維化，基本上表明沒有感染。

 在關鍵時刻，請每天早晨在乾淨的環境中進行自我檢查！

 日本醫生治療COVID-19病例的嚴重建議。 每個人都應確保您的嘴巴和喉嚨濕潤，切勿乾燥。 至少每15分鐘喝幾口水。 為什麼？ 即使病毒進入您的嘴...喝水或其他液體也會通過食道將其沖洗到胃中。 一旦進入肚子...您的胃酸將殺死所有病毒。 如果您不經常喝足夠的水，則該病毒會進入您的氣管並進入LUNGS。 那很危險。
 請發送和與家人，朋友和每個人分享有關此！ 保重每一個人，使世界盡快從日冕病毒中恢復過來。 願所有人幸福快樂🙏",2020/2/29,11
mg_5e5a7c966c22d4001aca866b_11516155815743,"日本和台灣醫生的實用提示：

 冠狀病毒可能幾天都沒有顯示出被感染的跡象，如何知道該人是否被感染。 等到他們發燒和/或咳嗽並去醫院時，肺部纖維化程度通常為50％，為時已晚！

 台灣專家提供了一個簡單的自測工具，我們每天早晨都可以做：

 深呼吸，屏住呼吸10秒鐘以上。 如果您沒有咳嗽，不適，悶氣或僵硬等症狀，則表明肺部沒有纖維化，基本上沒有感染。

 重要的時刻，您應該每天早晨在空氣新鮮的環境中檢查自己！

 日本醫生對Covid-19病例的認真建議。 每個人都應確保您的嘴和喉嚨濕潤，切勿乾燥。 至少每隔15分鐘喝一口水。

 為何 即使病毒進入您的口腔，飲用水或其他液體也會將其從食道掃入胃中。 一旦進入...酸，您的胃將殺死所有病毒。 如果您不經常喝足夠的水，則該病毒會進入您的氣管和肺部。 那是非常危險的。 請提醒大家這一點！
 如果您想複製或共享，請隨時...盡可能多的人來防止病毒！",2020/2/29,11
mg_5e5a7d966c22d4001aca8679_11516176212509,"收到消息：新的NCP冠狀病毒可能很多天都沒有感染跡象，如何知道他/她是否被感染。 等到他們發燒和/或咳嗽並去醫院的時候，肺通常纖維化程度為50％，為時已晚！

 台灣專家提供了一個簡單的自我檢查，我們每天早晨都可以這樣做：

 深呼吸，屏住呼吸10秒鐘以上。 如果您成功完成了治療而沒有咳嗽，沒有不適，鼻塞或緊繃等現象，則表明肺部沒有纖維化，基本上表明沒有感染。

 在關鍵時刻，請每天早晨在乾淨的環境中進行自我檢查！

 日本醫生治療COVID-19病例的嚴重建議。 每個人都應確保您的嘴巴和喉嚨濕潤，切勿乾燥。 至少每15分鐘喝幾口水。 為什麼？ 即使病毒進入您的嘴...喝水或其他液體也會通過食道將其沖洗到胃中。 一旦進入肚子...您的胃酸將殺死所有病毒。 如果您不經常喝足夠的水，則該病毒會進入您的氣管並進入LUNGS。 那很危險。
 請發送和與家人，朋友和每個人分享有關此！ 保重每一個人，使世界盡快從日冕病毒中恢復過來。 願所有人幸福快樂🙏",2020/2/29,11
mg_5e88f222e4dc73425ee68dc4_11512626414244,"收到消息：新的NCP冠狀病毒可能很多天都沒有感染跡象，如何知道他/她是否被感染。 等到他們發燒和/或咳嗽並去醫院的時候，肺通常纖維化程度為50％，為時已晚！

 台灣專家提供了一個簡單的自我檢查，我們每天早晨都可以這樣做：

 深呼吸，屏住呼吸10秒鐘以上。 如果您成功完成了治療而沒有咳嗽，沒有不適，鼻塞或緊繃等現象，則表明肺部沒有纖維化，基本上表明沒有感染。

 在關鍵時刻，請每天早晨在乾淨的環境中進行自我檢查！

 日本醫生治療COVID-19病例的嚴重建議。 每個人都應確保您的嘴巴和喉嚨濕潤，切勿乾燥。 至少每15分鐘喝幾口水。 為什麼？ 即使病毒進入您的嘴...喝水或其他液體也會通過食道將其沖洗到胃中。 一旦進入肚子...您的胃酸將殺死所有病毒。 如果您不經常喝足夠的水，則該病毒會進入您的氣管並進入LUNGS。 那很危險。
 請發送和與家人，朋友和每個人分享有關此！ 保重每一個人，使世界盡快從日冕病毒中恢復過來。 願所有人幸福快樂🙏",2020/2/29,11
mg_5e88f242e4dc73425ee7ec95_11513559175854,"收到消息：新的NCP冠狀病毒可能很多天都沒有感染跡象，如何知道他/她是否被感染。 等到他們發燒和/或咳嗽並去醫院的時候，肺通常纖維化程度為50％，為時已晚！

台灣專家提供了一個簡單的自我檢查，我們每天早晨都可以這樣做：

深呼吸，屏住呼吸10秒鐘以上。 如果您成功完成了治療而沒有咳嗽，沒有不適，鼻塞或緊繃等現象，則表明肺部沒有纖維化，基本上表明沒有感染。

在關鍵時刻，請每天早晨在乾淨的環境中進行自我檢查！

日本醫生治療COVID-19病例的嚴重建議。 每個人都應確保您的嘴巴和喉嚨濕潤，切勿乾燥。 至少每15分鐘喝幾口水。 為什麼？ 即使病毒進入您的嘴...喝水或其他液體也會通過食道將其沖洗到胃中。 一旦進入肚子...您的胃酸將殺死所有病毒。 如果您不經常喝足夠的水，則該病毒會進入您的氣管並進入LUNGS。 那很危險。
請發送和與家人，朋友和每個人分享有關此！ 保重每一個人，使世界盡快從日冕病毒中恢復過來。 願所有人幸福快樂",2020/2/29,11
mg_5e88f24be4dc73425ee876e1_11512567628884,"新的NCP冠狀病毒可能會很多天都沒有感染的跡象，那麼如何知道他/她是否被感染了呢？
 最新信息是潛伏期可能長達28天，才有COVID 19症狀明顯。

 那個時候一個人發燒和/或咳嗽才去醫院時，肺部通常有50％的纖維化，為時已晚！

 台灣專家提供了一個簡單的自我檢查，我們每天早晨都可以進行；

 深呼吸，屏住呼吸10秒鐘以上。
 如果您這樣做而沒有咳嗽，沒有不適，悶氣或緊繃等現象，則表明肺部沒有纖維化，基本上表明沒有感染。

 在關鍵時刻，請每天早晨在乾淨的環境中進行自我檢查！

 日本醫生治療COVID-19病例的嚴重建議。 每個人都應確保您的嘴巴和喉嚨濕潤，切勿乾燥。
 至少每15分鐘喝幾口水。
 為什麼呢？
 即使病毒確實進入了您的口腔，飲用水或其他液體也會通過食道將其沖洗掉並進入胃中。
 您的胃酸會殺死所有病毒。
 如果您不經常喝足夠的水，則該病毒會進入您的氣管並進入LUNGS。
 那很危險。

 請發送和與家人，朋友和每個人分享有關此！

 保重大家，並希望世界盡快從日冕病毒中恢復過來。

  祝大家幸福快樂。
  🙏",2020/2/29,11
mg_5e5a92516c22d4001aca86ec_11516535397165,"收到消息：新的NCP冠狀病毒可能很多天都沒有感染跡象，如何知道他/她是否被感染。 等到他們發燒和/或咳嗽並去醫院的時候，肺通常纖維化程度為50％，為時已晚！

 台灣專家提供了一個簡單的自我檢查，我們每天早晨都可以這樣做：

 深呼吸，屏住呼吸10秒鐘以上。 如果您成功完成了治療而沒有咳嗽，沒有不適，鼻塞或緊繃等現象，則表明肺部沒有纖維化，基本上表明沒有感染。

 在關鍵時刻，請每天早晨在乾淨的環境中進行自我檢查！

 日本醫生治療COVID-19病例的嚴重建議。 每個人都應確保您的嘴巴和喉嚨濕潤，切勿乾燥。 至少每15分鐘喝幾口水。 為什麼？ 即使病毒進入您的嘴...喝水或其他液體也會通過食道將其沖洗到胃中。 一旦進入肚子...您的胃酸將殺死所有病毒。 如果您不經常喝足夠的水，則該病毒會進入您的氣管並進入LUNGS。 那很危險。
 請發送和與家人，朋友和每個人分享有關此！ 保重每一個人，使世界盡快從日冕病毒中恢復過來。 願所有人幸福快樂🙏",2020/2/29,11
mg_5e88f230e4dc73425ee761ec_11516609144661,"新型冠狀病毒19在感染初期可能沒有任何症狀，在這樣情況下我們也無法知道自己是否感染。等到有咳嗽、發燒等臨床症狀後去醫院的話，50%肺部已經纖維化了。所以等有臨床症狀後去醫院就已經晚了。

臺灣專家提供了每天早上簡單自檢的方法。

深呼吸後，憋氣10秒種以上，如果沒有咳嗽、不適、胸悶的現象的話，說明肺部沒有纖維化。即沒有感染。

建議大家每天通過這樣小小的努力，為自己作一個診斷~

還有日本專家對新型冠狀病毒提供非常有用的忠告。所有人不要使口和喉嚨處在乾燥的狀態，每15分鐘喝口水是非常有益的，因為即使病毒從口進入到了喉部，通過喝水或其他飲料，讓病毒通過食道進入胃裡。胃裡有胃酸，病毒進到胃裡會被胃酸致死。不經常喝水的話，病毒會通過器官（通過呼吸道）進到肺部的話情況就很危險了。

情把這個資訊與家人分享！",2020/2/29,11
mg_5e5b22696c22d4001aca88b8_11518393864042,"請閱讀：

 收到消息：新的NCP冠狀病毒可能很多天都沒有感染跡象，如何知道他/她是否被感染。 等到他們發燒和/或咳嗽並去醫院的時候，肺通常纖維化程度為50％，為時已晚！

 台灣專家提供了一個簡單的自我檢查，我們每天早晨都可以這樣做：

 深呼吸，屏住呼吸10秒鐘以上。 如果您成功完成了治療而沒有咳嗽，沒有不適，鼻塞或緊繃等現象，則表明肺部沒有纖維化，基本上表明沒有感染。

 在關鍵時刻，請每天早晨在乾淨的環境中進行自我檢查！

 日本醫生治療COVID-19病例的嚴重建議。 每個人都應確保您的嘴巴和喉嚨濕潤，切勿乾燥。 至少每15分鐘喝幾口水。 為什麼？ 即使病毒進入您的嘴裡，喝水或其他液體也會通過食道將其沖洗掉並進入胃中。 一旦進入肚子...您的胃酸將殺死所有病毒。 如果您不經常喝足夠的水，則該病毒會進入您的氣管並進入LUNGS。 那很危險。

 請發送和與家人，朋友和每個人分享有關此！ 請注意，世界可能很快會從日冕病毒中恢復過來。

 請閱讀：
 收到：新的NCP冠狀病毒可能沒有顯示感染的並發症很多天，怎麼能知道他/她是否被感染。當他們發燒和/或咳嗽去醫院的時候，肺部通常有50％的纖維化。已經 太遲了！
 台灣專家提供了一個我們每天早上都能做的簡單的自我檢查：
 深吸一口氣，屏住呼吸10秒以上。如果你成功地完成它沒有咳嗽，沒有糾正，悶熱或緊張等證明沒有纖維化在肺部，基本上表明沒有感染。
 在關鍵時刻，請每天早上在空氣清新的環境中進行自我檢查！
 日本醫生治療COVID-19例的嚴重優秀建議。每個人都應該確保你的口腔和喉嚨是濕潤的，不要乾燥。至少每15分鐘喝幾口水。為什麼甚至病毒進入你的嘴裡。 或其他液體會通過食道流進你的胃裡。你的胃酸會殺死所有的病毒。如果你不經常喝足夠的水，病毒就會進入你的氣管，進入肺部。那很危險。
 請發送並與家人，朋友和大家分享這一點！小心，世界可能很快就會從冠狀病毒中恢復。",2020/3/1,11
